"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaïdjan","AZE","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1976514544969","19.8269659761927","15.807941154944","16.221372257227","18.7678486310527","19.0095414691002","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.1853838889224","20.9255439826751","22.1009894245612","24.7887090842221","27.1959381185333","27.9587305829867","21.402262398242","24.2843379790515","33.9314765748897","27.1444134965323","",
"Burundi","BDI","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","13.6709389067377","","","","","","","","","","23.0257010448423","27.69193312738","28.2540590208745","25.1830169273105","23.6275593735149","22.7156974534398","","22.0782858570715","20.647628458498","","","","","","","","","","","","","","","","","","","","","","","",
"Belgique","BEL","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5728111336882","45.937622936705","44.697380428065","44.4212071163828","43.8128230398056","42.6348525059249","43.0371850255112","41.4436065241409","42.5564419939957","40.8989362902799","43.5309136698259","40.5934156846885","40.2935344941736","42.1013518104548","44.3987233629884","43.579571630894","44.8411007538412","45.9131579567486","45.5420739156994","45.1719874254131","41.5945806757549","41.0067723774795","39.9555241084094","39.8930944147907","39.4384345827096","44.0272409390215","41.2547723149035","",
"Bénin","BEN","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.94393922475686","9.30638470843529","10.179532584478","10.2043369788626","11.2753125531784","12.3129823081145","10.761506058922","11.2287831746703","10.5945968597121","11.0358957782752","12.9214457539664","12.3336649866679","12.8787351779888","13.1974934417641","14.7098212612735","18.4897905554418","17.3707418259823","18.2174288395505","17.1792423977492","18.2311525690361","",
"Bangladesh","BGD","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.85279247057531","7.88712372772849","7.83605027787651","7.60497659759871","8.1426283401405","8.33493730155715","8.66279314084748","9.42878117115452","9.87158360325856","9.26625106718959","9.84388457755423","9.63853873285246","9.50711961128958","9.50443649145954","9.00588487034226","7.86276813546215","7.6398740390309","7.4941458698952","8.27231503602594","8.14832024557625","8.3242513417429","",
"Bulgarie","BGR","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5154855851211","39.3728813559322","39.5488047808765","43.683506189361","43.7151826484018","","","","","","","","","","","31.4727193684699","29.646050483547","32.8254540772106","31.8447161806101","33.8587031565985","31.6514847805442","29.8699327108604","30.9398644973766","32.950887648773","37.9999020293938","34.3487048419682","32.0921237931982","32.053809859234","33.0964612331195","33.0614654085934","36.6852729538807","36.3784322105769","",
"Bahreïn","BHR","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","21.3884811328901","21.9955518061201","26.4006419608987","29.6567929364853","29.0228123935989","30.631417959362","36.5077982051059","27.5050985969185","27.3543567272466","27.7483306945687","27.1189637826962","25.3384801521","26.7129422301836","26.6915562829233","26.0437553241733","24.2884434067675","22.9743286830113","23.495160914206","24.8634467334738","24.9889546089156","20.7445013425675","21.7389372009304","24.1325585779394","21.8004721274312","20.1761162998588","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6108654453569","17.4629398680878","18.0829848825989","17.4320827943079","17.1371586376189","17.3694954797317","18.2571349404267","11.2387956464888","10.7095483534849","10.3294303521533","10.2594326481743","10.4233916778775","10.3894085907697","11.2625689254562","11.278457122853","11.3576991114455","11.6635471735228","11.8675423842145","12.77773133194","14.2433449943698","15.3934154965055","16.5592966586399","16.3549707228275","16.3746138573421","16.0330058558698","16.2957063141122","18.0851303425299","20.0500985548619","17.6119918442182","18.7827808281069","27.4535585467369","25.7532488809466","24.0546835331152",
"Bosnie-Herzégovine","BIH","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6172734570244","33.9930341864315","36.0736132174875","37.8310013389341","39.8245478836713","39.163346131891","38.1186179452594","39.0326697243166","37.3655580614393","39.9462729767212","36.4782077046437","34.9010236092688","33.8899252873302","34.4993474661743","34.0521689246355","38.3614659355678","34.8930180694122","33.5067456874112",
